Entity Text,Start Char,End Char,Label
Baldomero Orozco-Juarez,16241,16264,PERSON
one,16310,16313,CARDINAL
the early hours,16390,16405,TIME
14 May 2025,16409,16420,DATE
less than 24 hours,16451,16469,TIME
Carthage,16517,16525,GPE
Mississippi,16527,16538,GPE
250 miles,16540,16549,QUANTITY
Alexandria,16553,16563,PERSON
Alexandria,16648,16658,GPE
Guardian,16759,16767,ORG
US,16947,16949,GPE
Guatemala,17014,17023,GPE
Jeremy Jong,17146,17157,PERSON
Jong,17356,17360,PERSON
England,17501,17508,GPE
Alexandria,17520,17530,GPE
Louisiana,17532,17541,GPE
Kathleen Flynn,17555,17569,PERSON
Khan Suri,17590,17599,PERSON
Alexandria,17622,17632,GPE
about 50 meters,17734,17749,QUANTITY
Suri,18057,18061,PERSON
18 March 2025,18099,18112,DATE
Richmond,18145,18153,GPE
Virginia,18155,18163,GPE
mid-afternoon,18168,18181,TIME
Suri,18184,18188,PERSON
Indian,18193,18199,NORP
Georgetown University,18223,18244,ORG
US,18252,18254,GPE
one,18294,18297,CARDINAL
Trump,18347,18352,PERSON
Israel,18391,18397,GPE
Gaza,18407,18411,GPE
Virginia,18437,18445,GPE
over a thousand miles,18472,18493,QUANTITY
Louisiana,18497,18506,GPE
Alexandria,18578,18588,GPE
three days,18593,18603,DATE
Alexandria,18793,18803,GPE
longer than 20 seconds,19055,19077,TIME
Virginia,19112,19120,GPE
Alexandria,19788,19798,GPE
Geo Group,20144,20153,ORG
Alexandria,20240,20250,PERSON
Hassan Ahmad,20294,20306,PERSON
two,20423,20426,CARDINAL
Urdu,20436,20440,GPE
Ahmad,20444,20449,PERSON
Suri,20549,20553,PERSON
Alexandria,20575,20585,PERSON
van,20589,20592,PERSON
Alvarado,20618,20626,GPE
Texas,20628,20633,GPE
the next day,20635,20647,DATE
14 May,20664,20670,DATE
Virginia,20740,20748,GPE
the same day,20757,20769,DATE
US,20810,20812,GPE
Suri,20854,20858,PERSON
Alexandria,20932,20942,GPE
American,21111,21119,NORP
American,21140,21148,NORP
American,21188,21196,NORP
